dealer_id,employee_id,employee_name,employee_role,hire_date,employee_email,employee_phone,vin,vehicle_brand,vehicle_model,vehicle_year,vehicle_price_usd,sale_date,customer_state,sales_status
D006,E1012,Patricia Harris,Sales Mnager,2019-08-19,patricia.harris@sunsetautos.com,555-789-4561,1FTFW1ED5NFA11223,Ford,F150,2022,41500.00,2025-06-14,Texas,Delivered
D007,E1013,Kevin Martin,Sales consultant,2016-01-11,kevin.martin@sunsetautos.com,555-321-9090,5NPE24AF4FH456789,Hyundai,Sonata,2015,11995.00,,IL,Sold
D007,1014,Barbara Lee,Sales Associate,2024-02-29,barbara.lee@sunsetautos.com,555-901-1002,1C6RR7LT0KS765432,Ram,1500,2019,32999.50,2025-07-03,OH,Pending 
D008,E1015,Steven Perez,Internet Sales,2022-10-05,steven.perez@sunsetautos.com,555-812-0000,KM8K62AA1JU445566,Hyundai,Kona,2018,17450.00,2025-07-18,GA,In Progress
D008,E1016,Jennifer Hall,Internet Sales,2021-13-01,jennifer.hall@sunsetautos.com,555-700-8899,JN1BJ1CR7JW223344,Nissan,Rogue Sport,2018,18200.00,2025-08-02,NC,Sold
D009,E1017,Thomas Allen,Sales Associate,2020-06-30,thomas.allen@sunsetautos.com,555-412-7788,2C4RC1BG5JR334455,Chrysler,Pacifica,2018,-21500.00,2025-08-16,MI,Delivered
D009,E1018,Karen Young,Sales Consultant,2015-03-22,karen.young@sunsetautos.com,555-222-3344,3FA6P0H74JR998877,Ford,Fusion,2018,15880.40,16/08/2025,MI,Sold
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,1GCHK29U84E123456,Chevrolet,Silverado,2017,29995.00,2025-09-01,PA,DELIVERED
D010,E1020,Nancy Wright,General Manager,2014-07-17,nancy.wrightsunsetautos.com,555-888-4321,1FMCU9GD7JUA44556,Ford,Escape,2018,16990.00,2025-09-09,VA,Sold
D011,E1021,Jason Scott,Sales Associate,2023-05-12,jason.scott@sunsetautos.com,555-555-5555,1N4AZ0CP4DC409876,Nissan,Leaf,2013,8999.99,2025-09-15,CA,Returned
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,WBA8E9G57GNU11223,BMW,328i,2016,21000.00,2025-09-22,ca,Sold
D012,E1023,George Baker,Sales Associate,2018-09-31,george.baker@sunsetautos.com,555-431-7781,1C3CCCABXFN543210,Chrysler,200,2015,12500.75,2025-10-05,CO,Pending
D012,E1024,Donna Nelson,General Manager,2019-02-10,donna.nelson@sunsetautos.com,555-654-2200,1HGFA16526L765432,Honda,Civic LX,2016,13400.00,2025-10-18,Colorado,Sold
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,4T1BF1FK5GU334455,Toyota,Camry,2016,14670.00,2025-11-01,UT,cancelled
D013,E1026,Susan Mitchell,Sales Manager,2020-07-20,susan.mitchell@sunsetautos.com,,5XYPG4A34JG567890,Kia,Sorento,2018,22350,2025-11-12,AL,Sold
D014,E1027,Mark Roberts,Sale advisor,2024-03-15,mark.roberts@sunsetautos.com,555-300-7890,1FM5K8D83JGA12345,Ford,Explorer,2018,27110.00,2025-11-26,MS,Pending
D014,E1028,Lisa Carter,Sales Associate,2022-08-08,lisa.carter@sunsetautos.com,555-220-6677,1GNSKBKC0Jr112233,Chevrolet,Tahoe,2018,37500.00,2025-12-03,NewYork,Sold
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,3N1AB7AP4KY245678,Nissan,Sentra,2019,17200.00,2025-12-15,ZZ,In Transit
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,19UDE2F3XjA654321,Acura,ILX,2018,$18995.00,2025-12-28,SC,Sold
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,PR9BN3R5UAL4YUKPY,Ford,Fusion,2016,$15335.02,2023-05-12,NY,Sold
D8,E1016,Jennifer Hall,Internet Sales,2021-13-01,jennifer.hall@sunsetautos.com,555-700-8899,RVFRG1U60L0ZPUELS,Kia,Optima,2015,13300.24,2023/12/21,VA,Sold 
D012,E1024,Donna Nelson,General Manager,2019-02-10,donna.nelson@sunsetautos.com,555-654-2200,6KTJST420RJ98FDHK,Ford,F150,2020,40346.73,2025-06-03,TX,Delivered
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,6AT9M9GW9NK0LAX8B,Chevrolet,Malibu,2020,18367.50,2023-12-26,California,Sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,4PNW2055HSREYBRR,Ford,Mustang,2016,27932.14,2024-03-29,TX,Delivered
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,DGD2YGSNN5J4MU6SE,Chevrolet,Silverado,2022,37131.37,2025-07-02,FL,sold
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,6V48KNVPDDXDD79LD,Hyundai,Kona,2019,$23592.84,2022-03-20,CA,soldd
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,W6XEA6GEP9TJZES0V,Chev,Malibu,2019,19381,20/09/2025,NY,Delivered
D010,E1020,Nancy Wright,General Manager,2014-07-17,nancy.wrightsunsetautos.com,555-888-4321,T98TDF4UCAYJTL54A,Chevrolet,Malibu,2016,11796,2025-09-05,TX,Sold
D002,E1003,Michaelbrown,Sales Asociate,2021-07-01,michael.brown@sunsetautos.com,5554441212,3KSLM3BMY3SULG1C7,Ford,Fusion,2018,18394,06-10-2025,TX,SOLD
D010,E1020,Nancy Wright,General Manager,2014-07-17,nancy.wrightsunsetautos.com,555-888-4321,TMTCG4ZX49H1NTC4A,Tota,RAV4,2022,33010.97,2025/09/24,FL,Sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,JN31MW2AWVP4X655P,Ram,1500,2021,36367,2025-12-24,New York,Sold
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,3N182SKAG4RM6DSH6,Toyota,Camry,2019,21891.04,2024-07-18,CO,Sold
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,U8SU5EVSUYXFJKR1K,Hyundai,Tucson,2022,27841.94,2022-05-18,Airzona,Pending
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,3R8RU48B1Y2L6JB2,Jeep,Cherokee,2015,16308,2024-11-06,AZ,PENDING
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,ZRECBSNBKSJ7HP6T0,Jeep,Wrangler,2019,0,2024/10/04,ZZ,Returned 
D009,E1018,Karen Young,Sales Consultant,2015-03-22,karen.young@sunsetautos.com,555-222-3344,HCZ40E9YA38G406K4,Ram,1500,2019,37416,09-20-2024,VA,Sold
D006,E1012,Patricia Harris,Sales Mnager,2019-08-19,patricia.harris@sunsetautos.com,555-789-4561,1YB8XM8PZTYUUANFS,Hyundai,Elantra,2020,20246,2024-10-23,WA,Delivered
001,e1001,John Miller,Sale Associate,2022-03-14,john.miller@sunsetautos.com,555-213-7788,6UWTRHNXHMNP7UVGN,Honda,Civic LX,2016,11534,2023-04-23,AZ,Sold
D008,E1016,Jennifer Hall,Internet Sales,2021-13-01,jennifer.hall@sunsetautos.com,555-700-8899,7HE28EDKKWFSH3R15,Hyunday,Kona,2021,23110,2023-08-14,CA,In Transit
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,7VCRVV6ERTN4HRKU,BMW,328i,2018,$19542.88,04-24-2022,CA,Sold
D007,E1013,Kevin Martin,Sales consultant,2016-01-11,kevin.martin@sunsetautos.com,555-321-9090,FRBUCM75UM48F7Z3Y,Honda,Civic LX,2017,10267,2022/03/14,FL,Sold
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,63DN085DPUJV58HBS,Chevrolet,Equinox,2016,17378.72,2023-01-14,MS,Delivered
D006,E1012,Patricia Harris,Sales Mnager,2019-08-19,patricia.harris@sunsetautos.com,555-789-4561,K1N9JEU3Y9UAVW8K5,Ford,Escape,2020,22062.68,2023-07-18,WA,Sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,K8CJ9YG5G6AK3KE7T,Honda,Civic LX,2016,11465.14,2025-09-28,NY,Cancelled
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,GG5LWBCXDVZ04KS3M,Nissan,Leaf,2019,13218,2022/11/20,TX,Sold
D003,E1006,Jessica Moore,Sales Consultant,2018-09-09,jessica.moore@sunsetautos.com,555-120-33,W4T6WN17GS1ZVVB2U,Nissan,Leaf,2015,8500.00,10-27-2025,CA,In Transit
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,W5C0JFVX3MNJ09ULT,Toyota,Camry,2019,26023.29,2025/12/10,OH,delivered
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,H60T10GR7BXRE6W3H,Ford,Escape,2022,28410,2025-04-16,NV,Sold
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,C0P55S0G0ZD2UNH6F,Toyota,Tacoma,2020,31640.92,2024-08-01,NY,In Transit
D012,E1024,Donna Nelson,General Manager,2019-02-10,donna.nelson@sunsetautos.com,555-654-2200,JTMHBJAZSXBMTDJ3H,Honda,Accord,2018,25731.86,2024-10-17,TX,CANCELLED
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,5EFXKEJUX1V694GHP,Hyundai,Elantra,2022,25279,2025-06-27,CA,delivered
D006,E1011,Daniel White,Sales Associate,2020-04-03,daniel.white@sunsetautos.com,555-600-1234,JDYH3Z4DVWZG9PK7R,Nissan,Sentra,2017,13030,2023/07/04,AZ,Sold
D014,E1027,Mark Roberts,Sale advisor,2024-03-15,mark.roberts@sunsetautos.com,555-300-7890,WYZAMK2EKBFP136YL,Kia,Sportage,2020,25843.18,2025-10-19,CA,sold
D012,E1023,George Baker,Sales Associate,2018-09-31,george.baker@sunsetautos.com,555-431-7781,HV8WCR2DAPWPJtVXH,Ford,F-150,2020,38878,2022-05-23,GA,Sold
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,BXL60F4GS42F2WYRY,Toyta,Corolla,2021,22194.95,2022-08-17,NY,Sold 
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,865XXK5E75WUDZ9EW,Jep,Grand Cherokee,2018,30561.29,2022-05-10,TX,Pending
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,79KD5GYF9MCS55L00,Chevrolet,Equinox,2020,24610.98,2023-10-22,MI,Sold
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,ZW2JFW1YJF490B0WM,Ford,Mustang,2019,$31384.17,2023-10-07,ca,delivered
D014,E1027,Mark Roberts,Sale advisor,2024-03-15,mark.roberts@sunsetautos.com,555-300-7890,ML5C30S5V5RSW7N05,Ford,Explorer,2022,38741.30,2023-05-17,ZZ,SOLD
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,U59K4FR5ZB3D290S1,Tesla,Model 3,2021,38552.35,2023-01-30,FL,Pending 
D2,E1003,Michaelbrown,Sales Asociate,2021-07-01,michael.brown@sunsetautos.com,5554441212,4HVSWHDS36EH8B9SK,Ford,Mustang,2017,0,2022-05-19,TX,sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,TBZEZSGYJCZYM67M,Ford,Explorer,2020,32640.20,2025-06-10,MI,Cancelled
D004,E1008,Amanda Anderson,sale Consultant,2022-06-25,amanda.anderson@sunsetautos.com,555-300-4567,H04251YM880UF4F4M,Honda,Civic LX,2020,15285.83,2023-02-22,IL,Sold
D002,E100,Emily Davis,General Manger,2020-11-31,emily.davis@sunsetautos.com,555-999-1122,209LBK5CJES001CK5,Toyota,Tacoma,2016,28202.91,2023-10-19,NV,Sold 
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,V8NHJE5M5FXZEVWLM,BMW,328i,2018,19206.57,02-07-2024,VA,Sold
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,33EJXE56ZJMJ49DHK,Nissan,Leaf,2019,10090,2022-12-08,VA,Sold
D014,E1027,Mark Roberts,Sale advisor,2024-03-15,mark.roberts@sunsetautos.com,555-300-7890,YCBFCTP3B8VW7S2W,Honda,CR-V,2017,25361.84,2022-06-16,NC,sold
D014,E1028,Lisa Carter,Sales Associate,2022-08-08,lisa.carter@sunsetautos.com,555-220-6677,DV13SLXXNL8968W8B,Hnda,CR-V,2021,$26937.12,2023-06-08,NY,sold
D007,1014,Barbara Lee,Sales Associate,2024-02-29,barbara.lee@sunsetautos.com,555-901-1002,2DN0VE195UHJG20Y0,Tesla,Model Y,2021,49658.24,2023-07-17,Arizona,Sold
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,98W7B0YH3WB7TRD7L,Chevrolet,Silverado,2017,36397.44,2025-10-13,FL,sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,DJPX71XM6YZT7NSUW,Ford,F150,2021,40526.62,2025/04/10,OH,In Progress
D007,1014,Barbara Lee,Sales Associate,2024-02-29,barbara.lee@sunsetautos.com,555-901-1002,FZ5T7PNUUJGSSDRRD,Chev,Tahoe,2019,39825.89,2023/06/22,California,Sold
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,RCM3MC28MVCAWGYV6,Toyota,Tacoma,2019,-31371.01,2024-07-31,AZ,DELIVERED
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,249XF2GMJ7XSAT1S5,Toyota,Tacoma,2021,37933.47,2025-04-24,AZ,Sold 
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,7K6037PSF50EHD9NK,Nisssan,Leaf,2015,9219,2025-06-22,TX,in transit
D008,E1015,Steven Perez,Internet Sales,2022-10-05,steven.perez@sunsetautos.com,555-812-0000,APEC4ZEDE7CV3MJ30,Jeep,Wrangler,2017,32822.31,2023-11-30,Virginia,Sold
D014,E1028,Lisa Carter,Sales Associate,2022-08-08,lisa.carter@sunsetautos.com,555-220-6677,41RS6ZKUNHC3BSPEG,Foord,Fusion,2014,0,2024-09-28,CA,soldd
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,XSWKR3WUDM48DZ1X3,Honda,Civic,2017,18755,2023-03-18,NC,Delivered 
D010,E1020,Nancy Wright,General Manager,2014-07-17,nancy.wrightsunsetautos.com,555-888-4321,0FNDU1CENP7PYWAPN,Jeep,Grand Cherokee,2021,30519,12-16-2022,MI,In Progress
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,7XP0X3CRKBT3VKNYR,Honda,CR-V,2019,25292.70,21/07/2025,WA,Sold
D007,1014,Barbara Lee,Sales Associate,2024-02-29,barbara.lee@sunsetautos.com,555-901-1002,DCEDA3JREKAP960D7,Hyundia,Tucson,2019,22978.18,2022-07-14,GA,DELIVERED
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,F026SRWFCF2117DA,For,Mustang,2017,28602,2025-09-11,FL,pending
D008,E1015,Steven Perez,Internet Sales,2022-10-05,steven.perez@sunsetautos.com,555-812-0000,CMXBPK2EWLS1Y1JF9,Ford,Escape,2022,20713.71,02-08-2023,OH,Delivered
D15,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,1FVSEFUK1K1X0GFAW,Toyota,RAV4,2016,22257.84,2025-02-03,NY,Sold
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,SL1LJUWU8KEL4U3W7,Ford,Fusion,2014,8500,2023-12-24,NV,DELIVERED
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,JWXN7XM2XV8SX1U20,Honda,Civic LX,2018,13641,2024-08-18,OR,delivered
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,WSTK41E57293C0FGS,BMW,328i,2016,21662.24,2023-09-02,PA,Sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,69KZB7GV3FHKZWY6P,Tota,Tacoma,2016,28703.63,2023/02/24,TX,Sold 
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,6R2MM42BN541APPUE,Ford,Fusion,2014,8500,2025-07-12,TX,DELIVERED
D014,E1028,Lisa Carter,Sales Associate,2022-08-08,lisa.carter@sunsetautos.com,555-220-6677,WFJXHSWHM0K913J14,Chevrolet,Tahoe,2021,45212.50,21/09/2024,ZZ,delivered
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,38358LFBRVCURVL68,Honda,Civic LX,2013,8500,2022-02-25,NC,Delivered
D012,E1023,George Baker,Sales Associate,2018-09-31,george.baker@sunsetautos.com,555-431-7781,ZF5HSPZ4LJPPDZULX,Jeep,Wrangler,2018,35508,08-31-2023,MS,Sold
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,28KU315EF29U068XA,BMW,X3,2016,32668,2025-02-15,VA,Pending
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,YDCG6BHL56A4NJWLU,Toyota,Tacoma,2022,37108.57,02-22-2023,ZZ,delivred
D004,E1008,Amanda Anderson,sale Consultant,2022-06-25,amanda.anderson@sunsetautos.com,555-300-4567,AAYH4J7ER1FGGX0WJ,Hyundai,Kona,2021,$22063.77,21/11/2025,tx,Delivered
D001,e1001,John Miller,Sale Associate,2022-03-14,john.miller@sunsetautos.com,555-213-7788,GJH1Z4XJSUFSVBWP9,Nissan,Leaf,2015,8500.00,09-26-2023,CO,Sold
D1,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,M7EBEATPCD29V934,Chevrolet,Malibu,2019,17124,2024-08-09,Colorado,Sold
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,SDSF4H6DWMHAJAL8Z,Ford,Fusion,2019,18344,2025-09-06,NY,In Transit
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,0D8L0LTGHR9ACASC7,Ford,F150,2020,39688.91,03-31-2025,CA,Sold
D011,E1022,Betty Green,Sales Advisor,2022-04-21,betty.green@sunsetautos.com,555 778 9900,MRC2E6VWXF6A0NVWS,Toyota,RAV4,2017,22823,2024/07/25,WA,In Progress
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,WGPS38DKUFCR306FG,Ford,Mustang,2015,26296.34,2024-05-19,CA,Delivered
D004,E1007,Chris Taylor,Sales associate,2023/01/10,chris.taylor@sunsetautos.com,555-870-1234,GKGL56X3HZP5W6THF,Honda,CR-V,2021,$27690.49,2025-10-23,TX,Pending
D002,E1003,Michaelbrown,Sales Asociate,2021-07-01,michael.brown@sunsetautos.com,5554441212,SG6GJHADRJN20FTEB,Hyundai,Elantra,2021,0,2023-09-26,NY,Sold
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,MUU5KCSV837DFU1J3,Foord,Mustang,2015,22410.40,21/07/2025,TX,sold
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,BUD7ZRLGSSUDR1ZMM,Hyundai,Tucson,2020,23248,09-12-2023,California,Delivered
D015,E1030,Mary Campbell,Sales Associate,2022-12-12,mary.campbell@sunsetautos.com,555-678-9901,YNJYMXDBKKH0E02GY,Chevrolet,Silverado,2022,35573.68,2022-03-31,CA,Sold
D004,E1008,Amanda Anderson,sale Consultant,2022-06-25,amanda.anderson@sunsetautos.com,555-300-4567,2CMXRG8KYESZXLFY5,Hyundai,Elantra,2018,17404,01-09-2023,TX,sold
D006,E1012,Patricia Harris,Sales Mnager,2019-08-19,patricia.harris@sunsetautos.com,555-789-4561,RL5ECVBXTGEYL1LEF,Toyota,Camry,2021,24282.84,2025-11-23,IL,delivered
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,SGD28KD0A4FV7NGBP,Ford,F150,2020,40887.18,2023-02-28,TX,Sold
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,DKGFZ3RD137S7WF2C,Honda,Civic LX,2015,8500,22/10/2025,tx,Pending
D006,E1012,Patricia Harris,Sales Mnager,2019-08-19,patricia.harris@sunsetautos.com,555-789-4561,TXEF12XU6A3H3KKGG,BMW,328i,2014,19306,04-18-2022,MS,DELIVERED
D010,E1019,Paul King,Sales Associate,2019-11-05,paul.king@sunsetautos.com,555-119-8877,SD7U0BYWWU8GRJW5X,Nisssan,Leaf,2013,-8500.00,2024-09-07,IL,soldd
D007,1014,Barbara Lee,Sales Associate,2024-02-29,barbara.lee@sunsetautos.com,555-901-1002,BMNNDSC6D0NU0692H,Chevrolet,Tahoe,2015,$36000.74,2023-06-15,CO,In Progress
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,PU39BA7JMARTWU41Z,Ford,Fusion,2014,12247.08,04-17-2023,CO,delivered
D008,E1015,Steven Perez,Internet Sales,2022-10-05,steven.perez@sunsetautos.com,555-812-0000,WNKSD2XJB8VT321CN,Nissan,Sentra,2019,20387.62,09-21-2025,CO,Sold
D008,E1015,Steven Perez,Internet Sales,2022-10-05,steven.perez@sunsetautos.com,555-812-0000,YFRZRW3Y0TV6H7DE7,Chrysler,300,2016,19717.47,2024-11-13,OH,In Transit
D002,E1003,Michaelbrown,Sales Asociate,2021-07-01,michael.brown@sunsetautos.com,5554441212,YMXDA5UPLL8FJ4424,Acura,MDX,2021,33723.30,2023/01/07,TX,Sold
D012,E1023,George Baker,Sales Associate,2018-09-31,george.baker@sunsetautos.com,555-431-7781,ECWV6Y4JY8ZNL2BRR,Chevrole,Malibu,2020,$19251.13,2022-09-19,wa,Sold
D013,E1025,Edward Carter,Sales Associate,2021-01-04,edward.carter@sunsetautos.com,555-901-2211,351HT7KPAW3GUJ3G9,Toyota,RAV4,2022,34652.67,2022-02-04,CA,Delivered
D014,E1027,Mark Roberts,Sale advisor,2024-03-15,mark.roberts@sunsetautos.com,555-300-7890,AFH8KF9EGTR6VT6DG,Kia,Optima,2020,20748.79,11-12-2025,WA,Sold
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,F0YMH226U173LHJDL,Hyundai,Sonata,2015,12485,2025-06-19,MI,in prog
D005,E1009,Robert Thomas,Sales Associate,2021-02-28,robert.thomas@sunsetautos.com,555-411-8890,RYG4S7Z1KDAL978LE,Ford,Escape,2020,19316,2023-05-09,FL,Delivered
D005,E1010,Linda Jackson,sale asociate,2017-12-15,linda.jackson@sunsetautos.com,555-200-7788,G23CAFW9P6Y0DR6Y7,Honda,Civic LX,2020,$17024.27,2023/06/04,WA,Delivered 
D013,E1026,Susan Mitchell,Sales Manager,2020-07-20,susan.mitchell@sunsetautos.com,,GTNNH2P6NYG3CH569,BMW,X3,2020,$32367.33,2024-07-02,VA,Delivered
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,SU2YV5JJ39WXPNPVZ,Jeep,Grand Cherokee,2017,28354.61,2022-09-06,WA,Sold 
D001,E1002,SarahJohnson,Sales associate,03/22/2021,sarah.johnson@sunseatutos,555-310-8899,AGB1KDDNULVTKDVPC,Toyota,Tacoma,2020,35538.67,2024/08/22,FL,Pending
D009,E1017,Thomas Allen,Sales Associate,2020-06-30,thomas.allen@sunsetautos.com,555-412-7788,TN5R0NNV5MEMM9H1C,Honda,CR-V,2015,23072,02-19-2024,Georgia,Sold
D015,E1029,Anthony Phillips,Internet Sales,2023-06-01,anthony.phillips@sunsetautos.com,555-789-1111,XRME9L32FZRPYY0VP,Ford,Fusion,2013,8500.00,06-18-2024,GA,sold
